Jahr,Note,Bundesland,Anzahl
2008,3.1,HB,143
2008,3.2,HB,131
2008,3.3,HB,109
2008,3.4,HB,87
2008,3.5,HB,69
2008,3.6,HB,38
2008,3.7,HB,11
2008,3.8,HB,5
2008,3.9,HB,2
2008,4,HB,0
2008,1,HE,271
2008,1.1,HE,166
2008,1.2,HE,242
2008,1.3,HE,334
2008,1.4,HE,372
2008,1.5,HE,495
2008,1.6,HE,601
2008,1.7,HE,685
2008,1.8,HE,766
2008,1.9,HE,804
2008,2,HE,898
2008,2.1,HE,1007
2008,2.2,HE,1067
2008,2.3,HE,1099
2008,2.4,HE,1114
2008,2.5,HE,1253
2008,2.6,HE,1276
2008,2.7,HE,1277
